ptg000216l_1	PX244389.1	99.585	102975	37134	140017	47484	150377	1.876e+05	0.0
ptg000216l_1	PX244389.1	99.457	37197	1	37140	10348	47523	67499	0.0
ptg000216l_1	PX244389.1	99.283	29439	147605	176964	7660	37075	53101	0.0
ptg000216l_1	PX244389.1	99.868	25743	71834	97569	150377	124643	47336	0.0
ptg000216l_1	PX244389.1	99.860	25744	114282	140017	107905	82171	47325	0.0
ptg000216l_1	PX244389.1	98.876	7651	140018	147624	1	7644	13605	0.0
ptg000216l_1	PX244389.1	100.000	58	51824	51881	62247	62190	108	4.99e-22
ptg000216l_1	PX244389.1	96.429	56	89577	89631	99968	99913	91.6	5.03e-17
ptg000216l_1	PX244389.1	96.429	56	89577	89631	132580	132635	91.6	5.03e-17
ptg000216l_1	PX244389.1	100.000	48	61955	62002	72349	72302	89.8	1.81e-16
ptg000216l_1	PX244389.1	94.643	56	122220	122273	99913	99968	86.1	2.34e-15
ptg000216l_1	PX244389.1	94.643	56	122220	122273	132635	132580	86.1	2.34e-15
ptg000216l_1	PX244389.1	100.000	40	31877	31916	42291	42252	75.0	5.07e-12
ptg000216l_1	PX244389.1	97.500	40	104871	104910	96785	96746	69.4	2.36e-10
ptg000216l_1	PX244389.1	97.500	40	86406	86445	115259	115220	69.4	2.36e-10
ptg000216l_1	PX244389.1	97.500	40	125405	125444	115220	115259	69.4	2.36e-10
ptg000216l_1	PX244389.1	97.500	40	104871	104910	135763	135802	69.4	2.36e-10
ptg000216l_1	PX244389.1	100.000	30	34328	34357	8648	8619	56.5	1.83e-06
ptg000216l_1	PX244389.1	100.000	30	148559	148588	44729	44700	56.5	1.83e-06
ptg000216l_1	PX244390.1	99.408	103019	37134	140017	47486	150405	1.866e+05	0.0
ptg000216l_1	PX244390.1	99.821	25742	71834	97568	150405	124677	47264	0.0
ptg000216l_1	PX244390.1	99.814	25744	114282	140017	107928	82199	47255	0.0
ptg000216l_1	PX244390.1	98.940	24345	147605	171879	7650	31965	43436	0.0
ptg000216l_1	PX244390.1	99.246	21632	1	21616	10351	31965	39013	0.0
ptg000216l_1	PX244390.1	99.243	15590	21589	37140	31966	47525	28073	0.0
ptg000216l_1	PX244390.1	97.951	7664	140018	147624	1	7634	13202	0.0
ptg000216l_1	PX244390.1	99.103	5131	171852	176964	31966	37086	9195	0.0
ptg000216l_1	PX244390.1	96.429	56	89577	89631	99991	99936	91.6	5.03e-17
ptg000216l_1	PX244390.1	96.429	56	89577	89631	132613	132668	91.6	5.03e-17
ptg000216l_1	PX244390.1	100.000	48	61955	62002	72367	72320	89.8	1.81e-16
