feature_00002	chloroplast	100.000	794	115	908	86366	85573	1433	908	150274
feature_00003	chloroplast	100.000	231	115	345	86366	86136	417	372	150274
feature_00004	chloroplast	100.000	73	1	73	140090	140018	132	73	150274
feature_00005	chloroplast	100.000	73	1	73	140090	140018	132	73	150274
feature_00006	chloroplast	99.906	1062	1	1062	141398	140337	1911	1062	150274
feature_00007	chloroplast	99.906	1062	1	1062	141398	140337	1911	1062	150274
feature_00008	chloroplast	98.517	2495	1	2495	144127	141639	4334	2495	150274
feature_00009	chloroplast	93.617	47	1	45	144127	144081	69.8	72	150274
feature_00010	chloroplast	98.603	1503	1	1503	143411	141909	2617	1503	150274
feature_00011	chloroplast	98.603	1503	1	1503	143411	141909	2617	1503	150274
feature_00012	chloroplast	98.393	1058	1	1051	145845	144790	1822	1051	150274
feature_00013	chloroplast	98.291	234	37	270	145023	144790	405	270	150274
feature_00014	chloroplast	100.000	72	1	72	147408	147337	131	72	150274
feature_00015	chloroplast	100.000	72	1	72	147408	147337	131	72	150274
feature_00016	chloroplast	100.000	186	1	186	147703	147888	336	186	150274
feature_00017	chloroplast	100.000	186	1	186	147703	147888	336	186	150274
feature_00018	chloroplast	100.000	111	1	111	148281	148391	201	111	150274
feature_00019	chloroplast	100.000	111	1	111	148281	148391	201	111	150274
feature_00020	chloroplast	100.000	88	1	88	148647	148560	159	88	150274
feature_00021	chloroplast	100.000	88	1	88	148647	148560	159	88	150274
feature_00022	chloroplast	98.647	739	1	737	149287	150025	1281	738	150274
feature_00023	chloroplast	100.000	38	25	62	149988	150025	69.8	63	150274
feature_00024	chloroplast	100.000	42	31	72	1	42	77.0	72	150274
feature_00025	chloroplast	100.000	42	31	72	1	42	77.0	72	150274
feature_00026	chloroplast	99.541	1524	1	1524	1623	100	2718	1524	150274
feature_00027	chloroplast	99.541	1524	1	1524	1623	100	2718	1524	150274
feature_00028	chloroplast	99.301	1287	1	1287	2968	1682	2281	1287	150274
feature_00029	chloroplast	98.540	411	145	555	2092	1682	715	555	150274
feature_00030	chloroplast	99.593	246	1	246	3603	3358	440	246	150274
feature_00031	chloroplast	99.593	246	1	246	3603	3358	440	246	150274
feature_00032	chloroplast	99.592	735	1	735	5013	4279	1313	735	150274
feature_00033	chloroplast	99.592	735	1	735	5013	4279	1313	735	150274
feature_00034	chloroplast	99.297	711	1	711	5914	5204	1260	711	150274
feature_00035	chloroplast	99.297	711	1	711	5914	5204	1260	711	150274
feature_00036	chloroplast	99.096	4092	1	4092	10315	6224	7213	4092	150274
feature_00037	chloroplast	99.096	4092	1	4092	10315	6224	7213	4092	150274
feature_00038	chloroplast	99.215	2801	1	2801	13265	10476	4958	2801	150274
feature_00039	chloroplast	99.569	1626	436	2061	12101	10476	2902	2061	150274
feature_00040	chloroplast	99.782	3213	1	3213	16513	13302	5760	3213	150274
feature_00041	chloroplast	99.782	3213	1	3213	16513	13302	5760	3213	150274
feature_00042	chloroplast	100.000	79	1	79	17637	17715	143	79	150274
feature_00043	chloroplast	100.000	79	1	79	17637	17715	143	79	150274
feature_00044	chloroplast	100.000	90	1	90	18557	18646	163	90	150274
feature_00045	chloroplast	100.000	90	1	90	18557	18646	163	90	150274
feature_00046	chloroplast	99.048	105	1	105	19552	19448	186	105	150274
feature_00047	chloroplast	99.048	105	1	105	19552	19448	186	105	150274
feature_00048	chloroplast	100.000	74	1	74	20570	20497	134	74	150274
feature_00049	chloroplast	100.000	74	1	74	20570	20497	134	74	150274
feature_00050	chloroplast	98.810	84	1	84	20955	20872	148	84	150274
feature_00051	chloroplast	98.810	84	1	84	20955	20872	148	84	150274
feature_00052	chloroplast	100.000	73	1	73	21087	21015	132	73	150274
feature_00053	chloroplast	100.000	73	1	73	21087	21015	132	73	150274
feature_00054	chloroplast	100.000	72	1	72	21470	21541	131	72	150274
feature_00055	chloroplast	100.000	72	1	72	21470	21541	131	72	150274
feature_00056	chloroplast	99.906	1062	1	1062	22220	23281	1911	1062	150274
feature_00057	chloroplast	99.906	1062	1	1062	22220	23281	1911	1062	150274
feature_00058	chloroplast	99.789	1422	1	1422	23229	24650	2552	1422	150274
feature_00059	chloroplast	99.789	1422	1	1422	23229	24650	2552	1422	150274
feature_00060	chloroplast	100.000	93	1	93	24928	24836	168	93	150274
feature_00061	chloroplast	100.000	93	1	93	24928	24836	168	93	150274
feature_00062	chloroplast	100.000	189	1	189	25233	25421	342	189	150274
feature_00063	chloroplast	100.000	189	1	189	25233	25421	342	189	150274
feature_00064	chloroplast	100.000	71	1	71	26077	26147	129	71	150274
feature_00065	chloroplast	100.000	71	1	71	26077	26147	129	71	150274
feature_00066	chloroplast	100.000	74	1	74	26358	26285	134	74	150274
feature_00067	chloroplast	100.000	74	1	74	26358	26285	134	74	150274
feature_00068	chloroplast	99.340	303	1	303	26823	26521	538	303	150274
