path	type	size	sha256
supplementary_analysis/README.md	file	2233	e15f0f3dcf2ac19cdd9a8a8491072dac893965201e7bcdd0300573b1e77152bd
supplementary_analysis/config/supplementary_config.toml	file	2032	768958da71c08e36ebc0c7eb2aaeb0468170eacf3cc2ab574e47cc1c4288fcf3
supplementary_analysis/environment.yml	file	400	1225b2d84bb8f931a730b95cacf51b0dea16ee0eaf1fe95551c513df9a367ece
supplementary_analysis/metadata/populations/.gitkeep	file	1	01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
supplementary_analysis/metadata/populations/populations.supplement-20260824.tsv	file	1346	982efa6945ed17debeb7a6533d8372fd996ed2cbfd8e2d8bf39232d4e1118c31
supplementary_analysis/metadata/qc/.gitkeep	file	1	01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
supplementary_analysis/metadata/qc/supplement-20260824/metadata_correction_manifest.tsv	file	1488	0e02bb2a7488e5ea4e3c26c7b4e307526f19bd31a358815190ba8d7d702173cf
supplementary_analysis/metadata/qc/supplement-20260824/metadata_verification.tsv	file	436	472ba40d917dfbccd5b48986e47eb23e683e331c766262c808249db87151dae9
supplementary_analysis/metadata/samples/.gitkeep	file	1	01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
supplementary_analysis/metadata/samples/samples.corrected-20260824.tsv	file	99561	5db42643d66a4ae71493aa069dfb9e00d3fddd7ce56a6ac57bd97843581761eb
supplementary_analysis/pipeline/scripts/run_pipeline.py	file	125	7eabddba7163128b535e5abd7497af15b05ddde7e81335bb403b9b6238db1758
supplementary_analysis/pipeline/scripts/run_stage.py	file	741	31d9bc5ac7db1bb5822a6a8ac76a728079a270ce4a3d6a3660d4db45d4fbe2d1
supplementary_analysis/pipeline/src/dudleya_supplement/__init__.py	file	94	41f7b69d55ff6cefcae56d0d8abf2cda8611f6d958608e8a072b18372beb71cd
supplementary_analysis/pipeline/src/dudleya_supplement/comparative.py	file	2891	f425da4fea172717460e77e62e40677699ceb9e3f43224a620c85260283e6169
supplementary_analysis/pipeline/src/dudleya_supplement/comparative_analysis.py	file	25055	c02228539b577682e255febb88684e84dbfcd4d95608da448cf76669fbebf820
supplementary_analysis/pipeline/src/dudleya_supplement/configuration.py	file	2802	b7bbf3cd664848beb6c557ee81005ece4dc358b9c0a57c58724012561d37f236
supplementary_analysis/pipeline/src/dudleya_supplement/documentation.py	file	7282	8836869faee41ce0cc829086c2644c44a09d5de5f3f41fb017beb0558e6747cc
supplementary_analysis/pipeline/src/dudleya_supplement/figures.py	file	939	77e7ec45380f277696aea92edb074665a31a0ef670b2e07b52f94943ed439e7a
supplementary_analysis/pipeline/src/dudleya_supplement/finalization.py	file	14111	5c9ee59a82c4d1e353753437186d385f24282b988033e48f8246baac072e6c9c
supplementary_analysis/pipeline/src/dudleya_supplement/identity.py	file	2195	97e91b60a2394cbdc5ff0d1d8662ff0f6d37ca18ca85ec7c6993e9c9c6dd294e
supplementary_analysis/pipeline/src/dudleya_supplement/identity_audit.py	file	13337	8367d8bc30df8f0581b854ed1983571c5dea83b24708971ae6ead113be93f3d8
supplementary_analysis/pipeline/src/dudleya_supplement/io.py	file	1141	2288d39ae798f5500ee1a4287bb23c2eef6233ed584ed3971e02c01a30158576
supplementary_analysis/pipeline/src/dudleya_supplement/likelihood.py	file	8294	5eea8b7e7fbf9554d98c2eca4d09aaac032b765e2b44c7d6a4ed0d456fb5ef46
supplementary_analysis/pipeline/src/dudleya_supplement/metadata.py	file	2995	2e977929072473a285d8a669d19af349b811f23ff72c2d05277cc35cf18ad5e3
supplementary_analysis/pipeline/src/dudleya_supplement/paths.py	file	1329	7453b00287392044539f37f1920ee64b330df72674d435939d4687ba59515bb3
supplementary_analysis/pipeline/src/dudleya_supplement/phylogeny.py	file	2847	877c6c89762132fd7d226088ce1daba2027f17a0a0e6357508ffe4faa293fb51
supplementary_analysis/pipeline/src/dudleya_supplement/provenance.py	file	3456	266c438d85aca599807cd1f649d11d305cdafce0bc1993a6b885a1aeeaeeb8b9
supplementary_analysis/pipeline/src/dudleya_supplement/rendering.py	file	15500	7a0f5b6c2f050f354d0f590f07c4ba98062efc73687cbe40f2009022659d10a3
supplementary_analysis/pipeline/src/dudleya_supplement/reporting.py	file	1535	0d28ecd87411a0431a6eb3ed52f096fc19c370b367f477bede536cf37973c7ed
supplementary_analysis/pipeline/src/dudleya_supplement/scenario.py	file	33845	50610a9a8369484f687788870629abde15a92daf619f29be2c5b74a5b0f78628
supplementary_analysis/pipeline/src/dudleya_supplement/sensitivity.py	file	3494	bac79d2bd56b417ad999b8705f414058c074ebbb933da7ec1a95f93d03ae7158
supplementary_analysis/pipeline/src/dudleya_supplement/stages.py	file	17195	0966a93c9a784fec22ff0bc044bf0ce8d0a36d878b2f449389acbec8fe8fb947
supplementary_analysis/pipeline/src/dudleya_supplement/workflow.py	file	3067	c48c56b15aafdcf17581ea084934cdb6d439c52195dd88a392acb8ad581fb1b0
supplementary_analysis/reports/figures/.gitkeep	file	1	01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
supplementary_analysis/reports/figures/supplement-20260824/figure_S1_robustness.pdf	file	20349	65bc2eb1e9410dab09a5e2c6637f647f29ed1d27cb9dd9815a0b5965789e3163
supplementary_analysis/reports/figures/supplement-20260824/figure_S1_robustness.png	file	226787	31e257c499757e635ab360a4a38fa6ac9978bbd99d57c91a14b781613f2fbbde
supplementary_analysis/reports/figures/supplement-20260824/figure_S1_robustness.svg	file	85550	85240dbf2b3d6ab56e295f1ca72c6af4bf705c8ef0489f2b963187ed22b923bb
supplementary_analysis/reports/figures/supplement-20260824/figure_S2_phylogenetic_information.pdf	file	19000	f0004686478d704cfaae06fbf780ed124e4160aaf6b2a88182d6133ad18b1b79
supplementary_analysis/reports/figures/supplement-20260824/figure_S2_phylogenetic_information.png	file	119963	6f19f58639dc9841505ba530cf0705b390649787ea1ba7379a5307bcf6846444
supplementary_analysis/reports/figures/supplement-20260824/figure_S2_phylogenetic_information.svg	file	58876	9355a02ab2ad1a688cb9ef5cd297a6fd2c49cc4cc14dcda9c69219bd9cc50dde
supplementary_analysis/reports/figures/supplement-20260824/figure_S3_technical_confounders.pdf	file	30511	84ed33f8125a791aa1f041af5820bff6e90400a0a95cb585319a3a797bb3a1aa
supplementary_analysis/reports/figures/supplement-20260824/figure_S3_technical_confounders.png	file	265956	2f6ef141e632dba02a23902a8f3a2d3a6d4a6e008ee9945c73033c554c36b665
supplementary_analysis/reports/figures/supplement-20260824/figure_S3_technical_confounders.svg	file	112460	127eda0bba36a614b9833d7f52064abccfcc793a441e34b5b97ae5f0ea3700ea
supplementary_analysis/reports/figures/supplement-20260824/figure_S4_organelle_comparison.pdf	file	29669	685c3cb7c7b360c10d5081b3136289b0d3215b70c73804b2c8e6f6e93a73f0ae
supplementary_analysis/reports/figures/supplement-20260824/figure_S4_organelle_comparison.png	file	677942	b0b7f53aa6072f4082f4f39b4828382a2e5fd399836908037eac8e1b34ffb7e6
supplementary_analysis/reports/figures/supplement-20260824/figure_S4_organelle_comparison.svg	file	199111	d78211841f41a1bc3fe884e1f583b8ba15791f1beabb4a67c68b87a6ca415ee8
supplementary_analysis/reports/figures/supplement-20260824/figure_S5_population_diversity.pdf	file	23014	9d3e521b1316cc27b62b178b7d417450a37dc1608efed3c4ac5dffaf93a71a09
