mitochondria	chloroplast	92.616	474	24	4	132490	132952	67226	67699	0.0	671
mitochondria	chloroplast	92.616	474	24	4	202037	202499	67226	67699	0.0	671
mitochondria	chloroplast	73.566	889	180	38	109362	110220	98381	99244	3.21e-77	289
mitochondria	chloroplast	73.566	889	180	38	178909	179767	98381	99244	3.21e-77	289
mitochondria	chloroplast	73.566	889	180	38	178909	179767	133983	133120	3.21e-77	289
mitochondria	chloroplast	73.566	889	180	38	109362	110220	133983	133120	3.21e-77	289
mitochondria	chloroplast	77.863	393	52	18	81754	82132	64872	64501	7.14e-54	211
mitochondria	chloroplast	78.788	264	54	2	110598	110859	99271	99534	2.60e-43	176
mitochondria	chloroplast	78.788	264	54	2	180145	180406	99271	99534	2.60e-43	176
mitochondria	chloroplast	78.788	264	54	2	180145	180406	133093	132830	2.60e-43	176
mitochondria	chloroplast	78.788	264	54	2	110598	110859	133093	132830	2.60e-43	176
mitochondria	chloroplast	72.906	406	102	8	241892	242293	10669	11070	1.59e-30	134
mitochondria	chloroplast	93.243	74	5	0	138541	138614	1	74	2.68e-23	110
mitochondria	chloroplast	93.243	74	5	0	208088	208161	1	74	2.68e-23	110
mitochondria	chloroplast	84.783	92	12	1	81196	81287	87350	87261	9.70e-18	91.6
mitochondria	chloroplast	85.393	89	11	1	81196	81284	145012	145098	9.70e-18	91.6
mitochondria	chloroplast	86.154	65	9	0	166701	166765	123164	123100	1.26e-11	71.3
mitochondria	chloroplast	86.154	65	9	0	97154	97218	123164	123100	1.26e-11	71.3
mitochondria	chloroplast	85.246	61	9	0	109116	109176	98176	98236	2.11e-09	63.9
mitochondria	chloroplast	85.246	61	9	0	178663	178723	98176	98236	2.11e-09	63.9
mitochondria	chloroplast	85.246	61	9	0	178663	178723	134188	134128	2.11e-09	63.9
mitochondria	chloroplast	85.246	61	9	0	109116	109176	134188	134128	2.11e-09	63.9
mitochondria	chloroplast	88.235	51	6	0	110970	111020	99598	99648	7.61e-09	62.1
mitochondria	chloroplast	88.235	51	6	0	180517	180567	99598	99648	7.61e-09	62.1
mitochondria	chloroplast	88.235	51	6	0	180517	180567	132766	132716	7.61e-09	62.1
mitochondria	chloroplast	88.235	51	6	0	110970	111020	132766	132716	7.61e-09	62.1
mitochondria	chloroplast	85.185	54	8	0	183019	183072	7382	7329	3.54e-07	56.5
mitochondria	chloroplast	85.185	54	8	0	113472	113525	7382	7329	3.54e-07	56.5
